code,city,country,lat,lon
BRU,BRUSSELS,BELGIUM,50.902,4.499
N/A,BRASSCHAAT,BELGIUM,51.333,4.500
N/A,BERTRIX,BELGIUM,49.887,5.229
CRL,CHARLEROI,BELGIUM,50.459,4.454
N/A,CHIEVRES,BELGIUM,50.576,3.831
N/A,KOKSIJDE,BELGIUM,51.090,2.653
N/A,FLORENNES,BELGIUM,50.244,4.649
QKT,KORTRIJK-VEVELGEM,BELGIUM,50.818,3.208
LGG,LIEGE,BELGIUM,50.637,5.443
OST,OSTEND,BELGIUM,51.199,2.862
N/A,ZUTENDAAL,BELGIUM,50.948,5.592
N/A,SINT-TRUIDEN,BELGIUM,50.788,5.193
N/A,URSEL,BELGIUM,51.144,3.474
N/A,WEELDE,BELGIUM,51.395,4.961
N/A,ZOERSEL,BELGIUM,51.266,4.755
BBJ,BAUTZEN,GERMANY,51.193,14.520
AOC,ALTENBURG,GERMANY,50.982,12.506
N/A,DESSAU,GERMANY,51.832,12.186
N/A,EISENHUETTENSTADT,GERMANY,52.197,14.586
N/A,HERINGSDORF,GERMANY,53.879,14.152
N/A,SUHL,GERMANY,51.308,13.555
N/A,MUEHLHAUSEN,GERMANY,51.363,11.941
N/A,HALLE,GERMANY,51.552,12.053
N/A,RIESA,GERMANY,51.294,13.359
N/A,RECHLIN-LAERZ,GERMANY,53.306,12.753
N/A,STRAUSBERG,GERMANY,52.580,13.916
N/A,SCHOENHAGEN,GERMANY,52.203,13.159
N/A,COCHSTEDT,GERMANY,51.856,11.418
GWW,GOTHA OST,GERMANY,35.461,-77.965
N/A,BARTH,GERMANY,54.338,12.710
N/A,JENA,GERMANY,50.917,11.714
N/A,KYRITZ,GERMANY,52.919,12.425
N/A,MAGDEBURG,GERMANY,52.074,11.626
N/A,NEUBRANDENBURG,GERMANY,51.328,12.657
N/A,ROTHENBURG/OL,GERMANY,51.364,14.952
N/A,ANKLAM,GERMANY,53.833,13.669
N/A,COTTBUS,GERMANY,51.889,14.532
N/A,KOETHEN,GERMANY,51.721,11.962
N/A,KAMENZ,GERMANY,51.296,14.129
SXF,BERLIN,GERMANY,52.380,13.523
DRS,DRESDEN,GERMANY,51.133,13.767
ERF,ERFURT,GERMANY,50.980,10.958
FRA,FRANKFURT,GERMANY,50.026,8.543
FMO,MUENSTER/OSNABRUECK,GERMANY,52.134,7.685
HAM,HAMBURG,GERMANY,53.630,9.988
THF,BERLIN,GERMANY,52.473,13.404
CGN,COLOGNE,GERMANY,50.866,7.143
DUS,DUESSELDORF,GERMANY,51.289,6.767
MUC,MUNICH,GERMANY,48.354,11.786
NUE,NUERNBERG,GERMANY,49.499,11.078
LEJ,LEIPZIG,GERMANY,51.424,12.236
SCN,SAARBRUECKEN,GERMANY,49.214,7.109
STR,STUTTGART,GERMANY,48.690,9.222
TXL,BERLIN,GERMANY,52.559,13.287
HAJ,HANNOVER,GERMANY,52.461,9.685
BRE,BREMEN,GERMANY,53.047,8.787
N/A,EGELSBACH,GERMANY,49.961,8.644
HHN,HAHN,GERMANY,49.950,7.264
MHG,MANNHEIM,GERMANY,49.473,8.514
N/A,ALLENDORF,GERMANY,51.035,8.679
N/A,WORMS,GERMANY,49.606,8.368
N/A,MAINZ,GERMANY,49.969,8.147
N/A,EISENACH,GERMANY,50.993,10.473
N/A,SIEGERLAND,GERMANY,50.708,8.082
XFW,HAMBURG,GERMANY,53.535,9.835
KEL,KIEL,GERMANY,54.379,10.145
LBC,LUEBECK,GERMANY,53.805,10.719
AAH,AACHEN,GERMANY,50.823,6.187
N/A,DAHLEMER BINZ,GERMANY,50.406,6.528
N/A,MEINERZHAGEN,GERMANY,51.099,7.602
ZCA,ARNSBERG,GERMANY,51.483,7.899
N/A,KAMP,GERMANY,51.530,6.537
ESS,ESSEN,GERMANY,51.401,6.936
MGL,MOENCHENGLADBACH,GERMANY,51.230,6.504
PAD,PADERBORN,GERMANY,51.614,8.616
N/A,STADTLOHN,GERMANY,51.996,6.840
DTM,DORTMUND,GERMANY,51.518,7.612
AGB,AUGSBURG,GERMANY,48.425,10.932
N/A,BIBERACH,GERMANY,48.111,9.763
N/A,EGGENFELDEN,GERMANY,48.396,12.724
OBF,OBERPFAFFENHOFEN,GERMANY,48.081,11.283
N/A,STRAUBING,GERMANY,48.901,12.518
N/A,VILSHOFEN,GERMANY,48.636,13.195
N/A,LEUTKIRCH,GERMANY,47.859,10.014
FDH,FRIEDRICHSHAFEN,GERMANY,47.671,9.511
SZW,PARCHIM,GERMANY,53.427,11.783
N/A,STENDAL,GERMANY,52.629,11.820
N/A,AALEN-HEIDENHEIM,GERMANY,48.778,10.264
N/A,COBURG,GERMANY,50.263,10.996
BYU,BAYREUTH,GERMANY,49.984,11.638
N/A,BURG FEUERSTEIN,GERMANY,49.794,11.132
HOQ,HOF,GERMANY,50.289,11.855
N/A,ROSENTHAL,GERMANY,49.863,11.788
N/A,HASSFURT,GERMANY,50.018,10.529
ZNV,KOBLENZ,GERMANY,50.325,7.531
ZQF,TRIER,GERMANY,49.863,6.789
ZQC,SPEYER,GERMANY,49.302,8.451
N/A,ZWEIBRUECKEN,GERMANY,49.209,7.401
ZCC,BADEN-BADEN,GERMANY,48.791,8.187
ZQL,DONAUESCHINGEN,GERMANY,47.973,8.522
N/A,FREIBURG,GERMANY,48.020,7.834
N/A,KARLSRUHE,GERMANY,48.982,8.333
N/A,MENGEN,GERMANY,48.054,9.373
N/A,SCHWAEBISCH HALL,GERMANY,49.118,9.777
N/A,SOEST,GERMANY,51.608,13.738
BWE,BRAUNSCHWEIG,GERMANY,52.319,10.556
KSF,KASSEL,GERMANY,51.408,9.378
N/A,HILDESHEIM,GERMANY,52.177,9.946
BRV,BREMERHAVEN,GERMANY,53.503,8.573
LEM,LEMWERDER,GERMANY,53.143,8.623
EME,EMDEN,GERMANY,53.391,7.227
N/A,LEER,GERMANY,53.272,7.443
WVN,WILHELMSHAVEN,GERMANY,53.505,8.053
BMK,BORKUM,GERMANY,53.595,6.709
NRD,NORDERNEY,GERMANY,53.707,7.230
N/A,FLENSBURG,GERMANY,54.772,9.378
N/A,RENDSBURG,GERMANY,54.221,9.601
GWT,WESTERLAND,GERMANY,54.913,8.340
N/A,ARMARI AIR FORCE BASE,ESTONIA,59.259,24.204
N/A,KARDLA,ESTONIA,58.991,22.831
N/A,KURESSAARE,ESTONIA,58.230,22.509
N/A,PARNU,ESTONIA,58.419,24.473
TLL,TALLINN-ULEMISTE INTERNATIONAL,ESTONIA,59.413,24.833
N/A,TARTU-ULENURME,ESTONIA,58.307,26.690
ENF,ENONTEKIO,FINLAND,68.362,23.424
N/A,EURA,FINLAND,61.116,22.201
KEV,HALLI,FINLAND,61.856,24.786
HEM,HELSINKI,FINLAND,60.254,25.043
HEL,HELSINKI,FINLAND,60.320,24.956
N/A,HAMEENKYRO,FINLAND,61.689,23.074
N/A,HANKO,FINLAND,59.849,23.083
N/A,HYVINKAA,FINLAND,60.654,24.881
N/A,KIKALA,FINLAND,60.463,23.652
N/A,IMMOLA,FINLAND,61.249,28.904
N/A,KITEE,FINLAND,62.166,30.074
